,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
327,40.737759999999994,-73.95326999999999,349,3,8,60,0,1,0,0,0,0,1,0
328,40.73738,-73.95482,349,3,7,60,0,1,0,0,0,0,1,0
329,40.67542,-73.98142,165,30,34,189,0,1,0,0,0,1,0,0
330,40.73842,-73.95312,249,3,2,60,0,1,0,0,0,0,1,0
331,40.6926,-73.99831999999999,100,3,66,0,0,1,0,0,0,0,1,0
332,40.69441,-73.99771,200,3,80,106,0,1,0,0,0,1,0,0
333,40.72399,-73.98374,169,4,240,276,0,0,1,0,0,1,0,0
334,40.6824,-73.94615,185,3,46,248,0,1,0,0,0,1,0,0
335,40.68949,-73.91708,65,2,228,194,0,1,0,0,0,1,0,0
336,40.688190000000006,-73.97258000000001,130,35,5,135,0,1,0,0,0,1,0,0
337,40.7205,-73.96015,199,30,8,30,0,1,0,0,0,1,0,0
